ISO language name,Native name (endonym),639-1
Abkhazian,"аҧсуа бызшәа, аҧсшәа",ab
Afar,Afaraf,aa
Afrikaans,Afrikaans,af
Akan,Akan,ak
Albanian,Shqip,sq
Amharic,አማርኛ,am
Arabic,العربية,ar
Aragonese,aragonés,an
Armenian,Հայերեն,hy
Assamese,অসমীয়া,as
Avaric,"авар мацӀ, магӀарул мацӀ",av
Avestan,avesta,ae
Aymara,aymar aru,ay
Azerbaijani,azərbaycan dili,az
Bambara,bamanankan,bm
Bashkir,башҡорт теле,ba
Basque,"euskara, euskera",eu
Belarusian,беларуская мова,be
Bengali,বাংলা,bn
Bihari languages,भोजपुरी,bh
Bislama,Bislama,bi
Bosnian,bosanski jezik,bs
Breton,brezhoneg,br
Bulgarian,български език,bg
Burmese,ဗမာစာ,my
"Catalan, Valencian","català, valencià",ca
Chamorro,Chamoru,ch
Chechen,нохчийн мотт,ce
"Chichewa, Chewa, Nyanja","chiCheŵa, chinyanja",ny
Chinese,"中文 (Zhōngwén), 汉语, 漢語",zh
Chuvash,чӑваш чӗлхи,cv
Cornish,Kernewek,kw
Corsican,"corsu, lingua corsa",co
Cree,ᓀᐦᐃᔭᐍᐏᐣ,cr
Croatian,hrvatski jezik,hr
Czech,"čeština, český jazyk",cs
Danish,dansk,da
"Divehi, Dhivehi, Maldivian",ދިވެހި,dv
"Dutch, Flemish","Nederlands, Vlaams",nl
Dzongkha,རྫོང་ཁ,dz
English,English,en
Esperanto,Esperanto,eo
Estonian,"eesti, eesti keel",et
Ewe,Eʋegbe,ee
Faroese,føroyskt,fo
Fijian,vosa Vakaviti,fj
Finnish,"suomi, suomen kieli",fi
French,"français, langue française",fr
Fulah,"Fulfulde, Pulaar, Pular",ff
Galician,Galego,gl
Georgian,ქართული,ka
German,Deutsch,de
"Greek, Modern (1453–)",ελληνικά,el
Guarani,Avañe'ẽ,gn
Gujarati,ગુજરાતી,gu
"Haitian, Haitian Creole",Kreyòl ayisyen,ht
Hausa,(Hausa) هَوُسَ,ha
Hebrew,עברית,he
Herero,Otjiherero,hz
Hindi,"हिन्दी, हिंदी",hi
Hiri Motu,Hiri Motu,ho
Hungarian,magyar,hu
Interlingua (International Auxiliary Language Association),Interlingua,ia
Indonesian,Bahasa Indonesia,id
"Interlingue, Occidental","(originally:) Occidental, (after WWII:) Interlingue",ie
Irish,Gaeilge,ga
Igbo,Asụsụ Igbo,ig
Inupiaq,"Iñupiaq, Iñupiatun",ik
Ido,Ido,io
Icelandic,Íslenska,is
Italian,Italiano,it
Inuktitut,ᐃᓄᒃᑎᑐᑦ,iu
Japanese,日本語 (にほんご),ja
Javanese,"ꦧꦱꦗꦮ, Basa Jawa",jv
"Kalaallisut, Greenlandic","kalaallisut, kalaallit oqaasii",kl
Kannada,ಕನ್ನಡ,kn
Kanuri,Kanuri,kr
Kashmiri,"कश्मीरी, كشميري‎",ks
Kazakh,қазақ тілі,kk
Central Khmer,"ខ្មែរ, ខេមរភាសា, ភាសាខ្មែរ",km
"Kikuyu, Gikuyu",Gĩkũyũ,ki
Kinyarwanda,Ikinyarwanda,rw
